package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.example.cupcake.customview.MyColumn,MyColumn,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.customview.PreviewMyColumn,PreviewMyColumn,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.navigation.AppNavGraph,AppNavGraph,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.navigation.rememberNavigationState,rememberNavigationState,1,0,0,0,0,0,0,0,1,1,
com.example.cupcake.screens.FlavorScreen,FlavorScreen,1,1,1,0,0,0,0,0,1,2,
com.example.cupcake.screens.RadioGroup,RadioGroup,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.screens.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.screens.HomeScreen,HomeScreen,1,1,1,0,0,0,0,0,1,7,
com.example.cupcake.screens.TopAppBarForCurrentScreen,TopAppBarForCurrentScreen,1,1,1,0,0,0,0,0,1,7,
com.example.cupcake.screens.PickupScreen,PickupScreen,1,1,1,0,0,0,0,0,1,2,
com.example.cupcake.screens.RadioGroup,RadioGroup,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.screens.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.screens.StartScreen,StartScreen,1,1,1,0,0,0,0,0,1,2,
com.example.cupcake.screens.OrderButton,OrderButton,1,1,1,0,0,0,0,0,1,8,
com.example.cupcake.screens.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.screens.SummaryScreen,SummaryScreen,1,1,1,0,0,0,0,0,1,3,
com.example.cupcake.screens.OrderDetailItem,OrderDetailItem,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.screens.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.theme.CupcakeTheme,CupcakeTheme,1,1,1,0,0,0,1,0,2,2,
